가감	ㄱㅏㄱㅏㅁ	더하거나 뺌.
시력	ㅅㅣㄹㅕㄱ	물체를 볼 수 있는 눈의 능력.
시련	ㅅㅣㄹㅕㄴ	힘든 고난이나 고비.
시론	ㅅㅣㄹㅗㄴ	그때그때 사회적으로 쟁점이 될 만한 일에 대한 평론.
시름	ㅅㅣㄹㅡㅁ	마음에 걸려 풀리지 않고 항상 남아 있는 근심과 걱정.
시립	ㅅㅣㄹㅣㅂ	공공의 이익을 위하여 시의 예산으로 설립하고 관리함.
시문	ㅅㅣㅁㅜㄴ	시와 산문.
시민	ㅅㅣㅁㅣㄴ	한 도시 안에 살고 있는 사람.
시발	ㅅㅣㅂㅏㄹ	차나 기차, 배 등이 맨 처음으로 출발함.
시방	ㅅㅣㅂㅏㅇ	말하고 있는 바로 이때. 지금.
시범	ㅅㅣㅂㅓㅁ	모범이 되는 본보기를 보임.
시상	ㅅㅣㅅㅏㅇ	잘한 일이나 뛰어난 성적을 칭찬하는 상장, 상품, 상금 등을 줌.
시선	ㅅㅣㅅㅓㄴ	어떤 방향으로 바라보고 있는 눈.
시설	ㅅㅣㅅㅓㄹ	어떤 목적을 위하여 건물이나 도구, 기계, 장치 등의 물건을 만듦. 또는 그런 건물이나 도구, 기계, 장치 등의 물건.
시세	ㅅㅣㅅㅓㅣ	그때그때의 세상 형편.
시속	ㅅㅣㅅㅗㄱ	한 시간을 단위로 하여 잰 속도.
시숙	ㅅㅣㅅㅜㄱ	남편의 형제.
시술	ㅅㅣㅅㅜㄹ	병이나 상처 등을 낫게 하기 위하여 의학적인 처치를 함. 또는 그런 일.
시승	ㅅㅣㅅㅡㅇ	자동차 등의 탈것이나 말 등을 시험 삼아 타 봄.
시식	ㅅㅣㅅㅣㄱ	음식 맛이나 요리 솜씨를 알아보려고 시험 삼아 음식을 먹어 봄.
시신	ㅅㅣㅅㅣㄴ	(점잖게 이르는 말로) 죽은 사람의 몸.
시약	ㅅㅣㅇㅑㄱ	화학에서, 어떤 물질의 성분을 알아내거나 양을 재는 데 쓰는 약.
시연	ㅅㅣㅇㅕㄴ	무용이나 연극 등을 일반 관객에게 보여 주기 전에 특정한 사람들에게 시험 삼아 먼저 보여 줌.
시영	ㅅㅣㅇㅕㅇ	시의 사업으로 관리하고 운영하는 일. 또는 그 사업.
시옷	ㅅㅣㅇㅗㅅ	한글 자모 ‘ㅅ’의 이름.
시외	ㅅㅣㅇㅗㅣ	도시의 바깥.
시운	ㅅㅣㅇㅜㄴ	어떤 시대나 시기의 운수.
시위	ㅅㅣㅇㅜㅣ	화살을 걸어서 잡아당겼다 놓아 멀리 날아가게 하는, 활대에 팽팽하게 걸어 놓은 줄.
시음	ㅅㅣㅇㅡㅁ	술이나 음료수 등의 맛을 알기 위해 조금 마셔 보는 일.
시인	ㅅㅣㅇㅣㄴ	어떤 내용이나 사실이 맞거나 그러하다고 인정함.
시일	ㅅㅣㅇㅣㄹ	어떤 일을 끝내는 데 걸리는 기간이나 시간.
시작	ㅅㅣㅈㅏㄱ	어떤 일이나 행동의 처음 단계를 이루거나 이루게 함. 또는 그런 단계.
시장	ㅅㅣㅈㅏㅇ	시를 다스리는 최고 책임자.
시적	ㅅㅣㅈㅓㄱ	시의 느낌을 가진 것.
시절	ㅅㅣㅈㅓㄹ	특정한 시기나 때.
시점	ㅅㅣㅈㅓㅁ	어떠한 것이 처음으로 일어나거나 시작되는 곳.
시정	ㅅㅣㅈㅓㅇ	사람이 사는 집이 모여 있는 곳.
시제	ㅅㅣㅈㅓㅣ	언어에서, 현재, 과거, 미래 등의 시간을 표현하는 문법.
시종	ㅅㅣㅈㅗㅇ	처음과 끝.
시중	ㅅㅣㅈㅜㅇ	옆에서 여러 가지 심부름을 하는 일.
시즌	ㅅㅣㅈㅡㄴ	어떤 활동이 활발하게 이루어지는 시기. 또는 어떤 활동을 하기 좋은 시기.
시집	ㅅㅣㅈㅣㅂ	남편의 부모가 사는 집. 또는 남편의 집안.
시찰	ㅅㅣㅊㅏㄹ	두루 돌아다니며 현장의 분위기나 사정을 살핌.
시청	ㅅㅣㅊㅓㅇ	시의 행정 사무를 맡아보는 기관.
시체	ㅅㅣㅊㅓㅣ	죽은 사람의 몸.
시침	ㅅㅣㅊㅣㅁ	자기가 하고도 하지 않은 척하거나 알고도 모르는 척하는 태도.
시판	ㅅㅣㅍㅏㄴ	상품을 시장에서 일반 대중에게 판매함.
시한	ㅅㅣㅎㅏㄴ	기간의 끝으로 정한 날짜나 시각.
시합	ㅅㅣㅎㅏㅂ	운동 등의 경기에서 서로 실력을 발휘하여 승부를 겨룸.
시해	ㅅㅣㅎㅏㅣ	부모나 대통령, 임금 등의 지위가 높은 사람을 죽임.
시험	ㅅㅣㅎㅓㅁ	문제, 질문, 실제의 행동 등의 일정한 절차에 따라 지식이나 능력을 검사하고 평가하는 일.
시현	ㅅㅣㅎㅕㄴ	나타내 보임.
시화	ㅅㅣㅎㅗㅏ	시와 그림.
식구	ㅅㅣㄱㄱㅜ	한집에서 함께 사는 사람.
식기	ㅅㅣㄱㄱㅣ	음식을 담는 그릇.
식도	ㅅㅣㄱㄷㅗ	목으로 넘긴 음식물을 위까지 연결하는 소화 기관.
식모	ㅅㅣㄱㅁㅗ	남의 집에 고용되어 주로 집안일을 맡아 하는 여자.
식비	ㅅㅣㄱㅂㅣ	먹는 데 드는 돈.
식사	ㅅㅣㄱㅅㅏ	아침, 점심, 저녁과 같이 날마다 일정한 시간에 음식을 먹는 일. 또는 그 음식.
식수	ㅅㅣㄱㅅㅜ	먹을 물. 또는 먹을 수 있는 물.
식자	ㅅㅣㄱㅈㅏ	지식이 있는 사람.
식초	ㅅㅣㄱㅊㅗ	원료를 발효시켜서 만드는 신맛이 나는 액체 조미료.
식후	ㅅㅣㄱㅎㅜ	밥을 먹은 뒤.
신고	ㅅㅣㄴㄱㅗ	어떠한 사실을 행정 관청에 알림.
신교	ㅅㅣㄴㄱㅛ	종교 개혁에 의해 가톨릭에서 갈라져 나온 기독교의 한 교파.
신구	ㅅㅣㄴㄱㅜ	새것과 헌것.
신규	ㅅㅣㄴㄱㅠ	무엇을 새로 함.
신기	ㅅㅣㄴㄱㅣ	매우 뛰어난 기술.
신도	ㅅㅣㄴㄷㅗ	어떤 종교를 믿고 따르는 사람.
신라	ㅅㅣㄴㄹㅏ	우리나라 고대의 삼국 가운데 한반도의 남동쪽에 있던 나라. 기원전 57년 박혁거세가 세웠다고 하며 수도는 경주이다. 삼국을 통일하였으나 935년에 고려 태조인 왕건에게 망하였다.
신부	ㅅㅣㄴㅂㅜ	가톨릭에서, 사제로 임명을 받아 종교적인 의식을 진행하는 성직자.
신비	ㅅㅣㄴㅂㅣ	보통의 생각으로는 이해할 수 없는 놀랍고 신기한 일.
신사	ㅅㅣㄴㅅㅏ	태도가 점잖고 교양이 있는 예의 바른 남자.
신수	ㅅㅣㄴㅅㅜ	사람의 얼굴이나 외모.
신어	ㅅㅣㄴㅇㅓ	새로 생긴 말.
신자	ㅅㅣㄴㅈㅏ	종교를 믿는 사람.
신조	ㅅㅣㄴㅈㅗ	굳게 믿어 지키고 있는 생각.
신주	ㅅㅣㄴㅈㅜ	죽은 사람의 이름을 적고 사당이나 절에 두는, 나무로 만든 패.
신차	ㅅㅣㄴㅊㅏ	새로 나온 차.
신파	ㅅㅣㄴㅍㅏ	지금까지와는 다른 생각이나 방식을 따르는 새로운 무리.
신하	ㅅㅣㄴㅎㅏ	임금을 섬기어 나랏일을 맡아서 하는 관리.
신호	ㅅㅣㄴㅎㅗ	어떤 내용의 전달을 위해 서로 약속하여 사용하는 일정한 소리, 색깔, 빛, 몸짓 등의 부호.
실기	ㅅㅣㄹㄱㅣ	때를 놓침.
실리	ㅅㅣㄹㄹㅣ	실제로 얻는 이익.
실무	ㅅㅣㄹㅁㅜ	실제로 하는 업무나 사무.
실비	ㅅㅣㄹㅂㅣ	실같이 가늘게 내리는 비.
실사	ㅅㅣㄹㅅㅏ	실제의 상황이나 상태 등을 조사하거나 검사함.
실소	ㅅㅣㄹㅅㅗ	어처구니가 없어 자기도 모르게 웃음이 툭 터져 나옴. 또는 그 웃음.
실수	ㅅㅣㄹㅅㅜ	잘 알지 못하거나 조심하지 않아서 저지르는 잘못.
실시	ㅅㅣㄹㅅㅣ	어떤 일이나 법, 제도 등을 실제로 행함.
실지	ㅅㅣㄹㅈㅣ	있는 그대로의 상태나 사실.
실추	ㅅㅣㄹㅊㅜ	명예나 체면 등을 떨어뜨리거나 잃음.
실크	ㅅㅣㄹㅋㅡ	명주실, 또는 명주실로 짠 천.
실토	ㅅㅣㄹㅌㅗ	숨기고 있던 것을 사실대로 말함.
실효	ㅅㅣㄹㅎㅛ	효력을 잃음.
심기	ㅅㅣㅁㄱㅣ	마음으로 느끼는 기분.
심도	ㅅㅣㅁㄷㅗ	깊은 정도.
심려	ㅅㅣㅁㄹㅕ	마음속으로 매우 걱정함. 또는 그런 걱정.
심리	ㅅㅣㅁㄹㅣ	마음의 움직임이나 의식의 상태.
심보	ㅅㅣㅁㅂㅗ	마음을 쓰는 태도.
심사	ㅅㅣㅁㅅㅏ	어떤 일에 대한 감정이나 마음.
심야	ㅅㅣㅁㅇㅑ	아주 늦은 밤.
심지	ㅅㅣㅁㅈㅣ	초나 등잔 등에 불을 붙이기 위해 꼬아서 꽂은 실이나 헝겊.
십자	ㅅㅣㅂㅈㅏ	‘十’ 자와 같은 모양.
쓰기	ㅅㅅㅡㄱㅣ	생각이나 느낌을 글로 표현하는 일.
아군	ㅇㅏㄱㅜㄴ	우리 편 군대.
아귀	ㅇㅏㄱㅜㅣ	사물의 갈라진 부분.
아까	ㅇㅏㄱㄱㅏ	조금 전.
아낙	ㅇㅏㄴㅏㄱ	남의 집 부녀자.
아내	ㅇㅏㄴㅏㅣ	결혼하여 남자의 짝이 된 여자.
아동	ㅇㅏㄷㅗㅇ	나이가 적은 아이.
아들	ㅇㅏㄷㅡㄹ	남자인 자식.
아래	ㅇㅏㄹㅏㅣ	일정한 기준보다 낮은 위치.
아량	ㅇㅏㄹㅑㅇ	너그러운 마음씨.
아령	ㅇㅏㄹㅕㅇ	길지 않은 막대기의 양 끝에 둥글고 무거운 것이 달려 있어, 양손에 하나씩 들고 팔 운동을 하는 운동 기구.
아름	ㅇㅏㄹㅡㅁ	두 팔을 둥글게 모아서 만든 둘레.
아명	ㅇㅏㅁㅕㅇ	아이 때의 이름.
아범	ㅇㅏㅂㅓㅁ	(조금 대접하는 말로) 자식이 있는 남자를 이르거나 부르는 말. 
아빠	ㅇㅏㅂㅂㅏ	격식을 갖추지 않아도 되는 상황에서 아버지를 이르거나 부르는 말.
아양	ㅇㅏㅇㅑㅇ	다른 사람에게 잘 보이거나 귀여움을 받으려고 하는 애교 있는 말. 또는 그런 행동.
아역	ㅇㅏㅇㅕㄱ	연극이나 영화에서 어린아이의 역할. 또는 그 역할을 맡은 배우.
아웃	ㅇㅏㅇㅜㅅ	테니스, 탁구, 농구, 배구 등에서 공이 일정한 선 밖으로 나가는 일.
아첨	ㅇㅏㅊㅓㅁ	남에게 잘 보이려고 꾸며 말하거나 행동함. 또는 그런 말이나 행동.
아침	ㅇㅏㅊㅣㅁ	날이 밝아올 때부터 해가 떠올라 하루의 일이 시작될 때쯤까지의 시간.
아편	ㅇㅏㅍㅕㄴ	덜 익은 양귀비 열매의 진을 말린 고무 모양의 흑갈색 물질.
아픔	ㅇㅏㅍㅡㅁ	육체적으로 괴로운 느낌.
악기	ㅇㅏㄱㄱㅣ	음악을 연주하는 데 쓰는 기구.
악마	ㅇㅏㄱㅁㅏ	불교에서, 수행을 방해하여 악한 길로 유혹하는 나쁜 귀신.
악보	ㅇㅏㄱㅂㅗ	음악의 곡조를 여러 가지 글자나 음표 등을 써서 기록한 것.
악사	ㅇㅏㄱㅅㅏ	악기를 연주하는 사람.
악수	ㅇㅏㄱㅅㅜ	인사, 감사, 화해 등의 뜻으로 두 사람이 각자 한 손을 내밀어 마주 잡는 일.
악어	ㅇㅏㄱㅇㅓ	열대의 강이나 호수에서 살며 생김새는 도마뱀과 비슷하나 몸집은 훨씬 크고 이빨이 날카로우며 물고기나 다른 동물들을 잡아 먹고 사는 동물.
안구	ㅇㅏㄴㄱㅜ	눈의 구멍 안에 있는 동그란 모양의 기관.
안도	ㅇㅏㄴㄷㅗ	사는 곳에서 평안하게 잘 지냄. 또는 평안히 지낼 수 있는 곳.
안료	ㅇㅏㄴㄹㅛ	색채가 있고 물이나 그 밖의 용제에 녹지 않는 고운 가루.
안마	ㅇㅏㄴㅁㅏ	손으로 몸을 두드리거나 주물러서 피가 잘 돌게 하고 피로를 풀어 주는 일.
안무	ㅇㅏㄴㅁㅜ	음악에 맞추어 춤을 만들거나 가르침.
안보	ㅇㅏㄴㅂㅗ	편안하게 보호되어 지켜짐. 또는 편안하게 보호하여 지킴.
안부	ㅇㅏㄴㅂㅜ	어떤 사람이 편안하게 잘 지내는지에 대한 소식. 또는 인사로 그것을 전하거나 묻는 일.
안주	ㅇㅏㄴㅈㅜ	한곳에 자리를 잡고 편안하게 삶.
안치	ㅇㅏㄴㅊㅣ	안전하게 둠.
안타	ㅇㅏㄴㅌㅏ	야구에서, 타자가 한 베이스 이상을 갈 수 있도록 공을 치는 일.
알라	ㅇㅏㄹㄹㅏ	이슬람교의 유일하고 절대적이며 전능한 신.
알토	ㅇㅏㄹㅌㅗ	성악에서, 여성의 가장 낮은 음역. 또는 그 음역의 가수.
암기	ㅇㅏㅁㄱㅣ	잊지 않고 머릿속으로 외움.
암수	ㅇㅏㅁㅅㅜ	암컷과 수컷.
암시	ㅇㅏㅁㅅㅣ	직접 드러나지 않게 가만히 알림. 또는 그 내용.
암초	ㅇㅏㅁㅊㅗ	바다나 강에서 물속에 잠겨 겉으로 보이지 않는 험한 바위.
암표	ㅇㅏㅁㅍㅛ	불법으로 몰래 사고파는 표.
암호	ㅇㅏㅁㅎㅗ	비밀을 지키기 위해 관계가 있는 사람들끼리만 알 수 있게 정한 기호.
압도	ㅇㅏㅂㄷㅗ	뛰어난 힘이나 능력으로 상대방을 눌러 꼼짝 못 하게 함.
압류	ㅇㅏㅂㄹㅠ	법에 따라 채무자가 자신의 재산을 사용하거나 처분하지 못하게 하는 일.
압사	ㅇㅏㅂㅅㅏ	무거운 것에 눌려 죽음.
압수	ㅇㅏㅂㅅㅜ	법원이나 경찰 등의 수사 기관이 증거 수집이나 조사의 목적으로 물건을 강제로 가져감.
앞니	ㅇㅏㅍㄴㅣ	앞쪽으로 위아래에 각각 네 개씩 나 있는 이.
애교	ㅇㅏㅣㄱㅛ	남에게 귀엽게 보이려는 태도.
애기	ㅇㅏㅣㄱㅣ	→ 아기
애도	ㅇㅏㅣㄷㅗ	사람의 죽음을 슬퍼함.
애로	ㅇㅏㅣㄹㅗ	좁고 험한 길.
애마	ㅇㅏㅣㅁㅏ	자기가 아끼고 사랑하는 말.
애무	ㅇㅏㅣㅁㅜ	이성을 사랑하여 어루만짐.
애비	ㅇㅏㅣㅂㅣ	→ 아비
애초	ㅇㅏㅣㅊㅗ	맨 처음.
애호	ㅇㅏㅣㅎㅗ	사랑하고 좋아함.
야간	ㅇㅑㄱㅏㄴ	해가 진 뒤부터 다시 해가 뜨기 전까지의 동안.
야경	ㅇㅑㄱㅕㅇ	밤에 보이는 경치.
야근	ㅇㅑㄱㅡㄴ	퇴근 시간이 지나 밤늦게까지 하는 일.
야단	ㅇㅑㄷㅏㄴ	어떤 일 때문에 시끄럽게 자꾸 떠들거나 소란을 일으킴.
야당	ㅇㅑㄷㅏㅇ	현재 정권을 잡고 있지 않은 정당.
야만	ㅇㅑㅁㅏㄴ	문명의 수준이 낮고 미개한 상태.
야망	ㅇㅑㅁㅏㅇ	어떤 일을 이루겠다는 큰 희망이나 바람.
야밤	ㅇㅑㅂㅏㅁ	깊은 밤.
야산	ㅇㅑㅅㅏㄴ	들 가까이에 있는 낮은 산.
야성	ㅇㅑㅅㅓㅇ	자연 또는 본능 그대로의 거친 성질.
야식	ㅇㅑㅅㅣㄱ	밤에 먹는 음식.
야심	ㅇㅑㅅㅣㅁ	대단한 것을 이루어 보겠다고 마음속에 품고 있는 욕망이나 소망.
야영	ㅇㅑㅇㅕㅇ	군대가 어떤 지역에서 임시로 지내며 필요한 시설을 갖추어 놓은 곳. 또는 거기서 하는 생활.
야외	ㅇㅑㅇㅗㅣ	도시에서 조금 떨어져 있는 들판.
야채	ㅇㅑㅊㅏㅣ	밭에서 기르며 주로 그 잎이나 줄기, 열매를 먹는 농작물.
야학	ㅇㅑㅎㅏㄱ	밤에 공부를 함.
야합	ㅇㅑㅎㅏㅂ	부부가 아닌 남녀가 서로 정을 통함.
야회	ㅇㅑㅎㅗㅣ	밤에 모임을 엶. 또는 그 모임.
약도	ㅇㅑㄱㄷㅗ	간략하게 중요한 것만 그린 지도.
약사	ㅇㅑㄱㅅㅏ	약을 조제하고 파는 일 등을 직업으로 하는 사람.
약수	ㅇㅑㄱㅅㅜ	어떤 수를 나머지 없이 나눌 수 있는 수.
약어	ㅇㅑㄱㅇㅓ	단어의 일부분이 줄어든 말.
약자	ㅇㅑㄱㅈㅏ	힘이나 세력이 약한 사람.
약주	ㅇㅑㄱㅈㅜ	약으로 마시는 술.
약지	ㅇㅑㄱㅈㅣ	가운뎃손가락과 새끼손가락 사이에 있는 손가락.
약초	ㅇㅑㄱㅊㅗ	약으로 쓰는 풀.
약효	ㅇㅑㄱㅎㅛ	약의 효과.
양가	ㅇㅑㅇㄱㅏ	지위가 높고 교양이 있는 좋은 집안.
양기	ㅇㅑㅇㄱㅣ	햇볕의 따뜻한 기운.
양녀	ㅇㅑㅇㄴㅕ	자기가 낳지 않고 데려다가 기르는 딸.
양도	ㅇㅑㅇㄷㅗ	권리나 재산, 물건 등을 남에게 넘겨줌. 또는 그런 일.
양모	ㅇㅑㅇㅁㅗ	따뜻하여 겨울옷에 많이 사용되는, 양의 털.
양보	ㅇㅑㅇㅂㅗ	다른 사람을 위해 자리나 물건 등을 내주거나 넘겨줌.
양부	ㅇㅑㅇㅂㅜ	양자가 됨으로써 생긴 아버지.
양서	ㅇㅑㅇㅅㅓ	내용이 교훈적이거나 건전한 책.
양수	ㅇㅑㅇㅅㅜ	자궁 속에서 태아를 보호하는 역할을 하는 액체.
양자	ㅇㅑㅇㅈㅏ	서로 관련이 있는 두 사람이나 두 개의 물건.
양조	ㅇㅑㅇㅈㅗ	술이나 간장 등을 담가서 만듦.
양주	ㅇㅑㅇㅈㅜ	위스키나 코냑 등과 같이 서양에서 직접 들여왔거나 서양식으로 만든 술.
양지	ㅇㅑㅇㅈㅣ	볕이 들어 밝고 따뜻한 곳.
양초	ㅇㅑㅇㅊㅗ	적당한 온도에서 녹는 고체를 녹인 후 틀에 붓고 가운데 심지를 넣어 다시 굳힌, 불을 밝히는 데 쓰는 서양식 초.
양치	ㅇㅑㅇㅊㅣ	이를 닦고 물로 입 안을 씻어 냄.
양파	ㅇㅑㅇㅍㅏ	모양은 둥글고 매운맛과 특이한 향기가 있는 채소.
양호	ㅇㅑㅇㅎㅗ	학교 등의 시설에서 사람들의 건강과 위생을 살피고 돌봄.
얘기	ㅇㅑㅣㄱㅣ	어떠한 사실이나 상태, 현상, 경험, 생각 등에 관해 누군가에게 하는 말.
어간	ㅇㅓㄱㅏㄴ	동사나 형용사가 활용할 때에 변하지 않는 부분.
어감	ㅇㅓㄱㅏㅁ	말소리나 말투에서 느껴지는 느낌.
어근	ㅇㅓㄱㅡㄴ	단어를 분석할 때 실질적인 의미를 담고 있는 중심이 되는 부분.
어둠	ㅇㅓㄷㅜㅁ	어두운 상태나 어두운 때.
어록	ㅇㅓㄹㅗㄱ	훌륭하고 유명한 사람의 말을 모아 놓은 기록이나 책.
어뢰	ㅇㅓㄹㅗㅣ	물속에서 폭발하여 적의 배를 부수는, 물고기 모양으로 생긴 폭탄.
어른	ㅇㅓㄹㅡㄴ	다 자란 사람.
어림	ㅇㅓㄹㅣㅁ	짐작하여 대강 헤아림. 또는 그런 셈이나 짐작.
어멈	ㅇㅓㅁㅓㅁ	(조금 대접하는 말로) 자식이 있는 여자를 이르거나 부르는 말.
어명	ㅇㅓㅁㅕㅇ	임금이 내리는 명령.
어묵	ㅇㅓㅁㅜㄱ	생선의 살을 으깨어 소금, 밀가루 등을 넣고 반죽해서 익힌 음식.
어민	ㅇㅓㅁㅣㄴ	물고기를 잡는 일을 직업으로 하는 사람.
어법	ㅇㅓㅂㅓㅂ	말의 일정한 법칙.
어선	ㅇㅓㅅㅓㄴ	그물 등으로 물고기를 잡는 데 사용하는 배.
어순	ㅇㅓㅅㅜㄴ	한 문장 안에서 주어, 목적어, 서술어 등의 문장 성분이 나오는 순서.
어안	ㅇㅓㅇㅏㄴ	일이 너무 뜻밖이어서 말을 못하고 있는 혀 안.
어업	ㅇㅓㅇㅓㅂ	이익을 얻기 위해 물고기, 조개, 김, 미역 등을 잡거나 기르는 산업. 또는 그런 직업.
어용	ㅇㅓㅇㅛㅇ	(낮잡아 이르는 말로) 자신의 이익을 위하여 권력자나 권력 기관을 좇아 행동하는 것.
어육	ㅇㅓㅇㅠㄱ	생선의 고기.
어음	ㅇㅓㅇㅡㅁ	일정한 금액을 일정한 날짜와 장소에서 지불할 것을 약속하거나 다른 사람에게 그 지급을 맡기는 유가 증권.
어장	ㅇㅓㅈㅏㅇ	고기잡이를 하는 곳.
어절	ㅇㅓㅈㅓㄹ	문장을 구성하고 있는 각각의 마디.
어제	ㅇㅓㅈㅓㅣ	오늘의 하루 전날.
어족	ㅇㅓㅈㅗㄱ	고등어, 참치, 상어처럼 주로 몸이 비늘로 덮여 있으며, 물속에 살면서 지느러미로 헤엄을 치고 아가미로 숨을 쉬는 동물.
어종	ㅇㅓㅈㅗㅇ	물고기의 종류.
어촌	ㅇㅓㅊㅗㄴ	물고기를 잡아 생활하는 사람들이 모여 사는 바닷가 마을.
어폐	ㅇㅓㅍㅕㅣ	말을 적절하지 않게 써서 일어나는 오해나 잘못.
어필	ㅇㅓㅍㅣㄹ	흥미를 일으키거나 매력을 드러내어 사람의 마음을 끎.
어학	ㅇㅓㅎㅏㄱ	언어를 연구하는 학문.
어항	ㅇㅓㅎㅏㅇ	물고기를 넣어 기르는 유리로 된 통.
어휘	ㅇㅓㅎㅜㅣ	일정한 범위에서 쓰이는 낱말의 수. 또는 그런 낱말 전체.
억류	ㅇㅓㄱㄹㅠ	강제로 머무르게 함.
억수	ㅇㅓㄱㅅㅜ	물이 쏟아지듯이 세차게 많이 내리는 비.
억지	ㅇㅓㄱㅈㅣ	잘 안될 일을 무리하게 해내려는 고집.
언니	ㅇㅓㄴㄴㅣ	여자가 형제나 친척 형제들 중에서 자기보다 나이가 많은 여자를 이르거나 부르는 말.
언도	ㅇㅓㄴㄷㅗ	법정에서 재판장이 판결을 알림.
언사	ㅇㅓㄴㅅㅏ	말이나 말씨.
언어	ㅇㅓㄴㅇㅓ	생각이나 느낌 등을 나타내거나 전달하는 음성이나 문자 등의 수단. 또는 그 체계.
얼마	ㅇㅓㄹㅁㅏ	잘 모르는 수량, 값, 정도.
엄두	ㅇㅓㅁㄷㅜ	감히 무엇을 하려는 마음.
엄마	ㅇㅓㅁㅁㅏ	격식을 갖추지 않아도 되는 상황에서 어머니를 이르거나 부르는 말.
엄수	ㅇㅓㅁㅅㅜ	시간이나 약속, 명령 등을 반드시 지킴.
엄지	ㅇㅓㅁㅈㅣ	엄지손가락이나 엄지발가락.
엄포	ㅇㅓㅁㅍㅗ	실속 없이 괜한 큰소리로 남을 위협함.
업무	ㅇㅓㅂㅁㅜ	직장 등에서 맡아서 하는 일.
업소	ㅇㅓㅂㅅㅗ	규모가 작은 사업이나 장사를 하는 곳.
업자	ㅇㅓㅂㅈㅏ	사업을 직접 경영하는 사람.
업주	ㅇㅓㅂㅈㅜ	업소의 주인.
에러	ㅇㅓㅣㄹㅓ	틀리거나 잘못된 점. 또는 조심하지 않아 잘못되게 하는 행위.
에미	ㅇㅓㅣㅁㅣ	→ 어미 1
여건	ㅇㅕㄱㅓㄴ	이미 주어진 조건.
여걸	ㅇㅕㄱㅓㄹ	성격이 활달하고 용기가 있어 사회적으로 활발하게 활동하는 여자.
여경	ㅇㅕㄱㅕㅇ	여자 경찰관.
여공	ㅇㅕㄱㅗㅇ	공장에서 일하는 여자.
여과	ㅇㅕㄱㅗㅏ	액체 속에 들어 있는 알갱이나 가라앉은 물질을 걸러 내는 일.
여군	ㅇㅕㄱㅜㄴ	여자 군인. 또는 여자 군인들로 이루어진 군대.
여념	ㅇㅕㄴㅕㅁ	어떤 일에 대한 생각 이외의 다른 생각.
여담	ㅇㅕㄷㅏㅁ	이야기하는 주제에서 벗어난 흥미 위주의 다른 이야기.
여당	ㅇㅕㄷㅏㅇ	정당 정치에서, 대통령을 내거나 의회에서 의석을 가장 많이 차지하고 있는 당.
여대	ㅇㅕㄷㅏㅣ	‘여자 대학’을 줄여 이르는 말.
여독	ㅇㅕㄷㅗㄱ	여행으로 생긴 피로.
여럿	ㅇㅕㄹㅓㅅ	여러 개.
여력	ㅇㅕㄹㅕㄱ	어떤 일을 하고 난 뒤 또 다른 일을 할 수 있을 만큼 남아 있는 힘이나 능력.
여론	ㅇㅕㄹㅗㄴ	한 사회의 사람들이 공통적으로 가지고 있는 의견.
여름	ㅇㅕㄹㅡㅁ	네 계절 중의 하나로 봄과 가을 사이의 더운 계절.
여명	ㅇㅕㅁㅕㅇ	날이 밝아 올 때 희미하게 비치는 빛. 또는 그 무렵.
여물	ㅇㅕㅁㅜㄹ	소나 말의 먹이로 쓰려고 짚이나 풀을 말려서 썬 것.
여벌	ㅇㅕㅂㅓㄹ	당장 쓰지는 않지만 앞으로 쓸 것을 대비하여 미리 준비해 놓는 물건.
여분	ㅇㅕㅂㅜㄴ	어떤 양을 채우고 남은 부분.
여상	ㅇㅕㅅㅏㅇ	'여자 상업 고등학교'를 줄여 이르는 말.
여성	ㅇㅕㅅㅓㅇ	어른이 되어 아이를 낳을 수 있는 여자.
여세	ㅇㅕㅅㅓㅣ	어떤 일을 하고 난 뒤 또 다른 일을 할 수 있을 만큼 남아 있는 능력이나 기세.
여승	ㅇㅕㅅㅡㅇ	여자 승려.
여식	ㅇㅕㅅㅣㄱ	여자인 자식.
여신	ㅇㅕㅅㅣㄴ	여성인 신.
여염	ㅇㅕㅇㅕㅁ	백성들이 많이 모여 사는 마을.
여운	ㅇㅕㅇㅜㄴ	어떤 일이 끝난 다음에도 남아 있는 느낌이나 분위기.
여울	ㅇㅕㅇㅜㄹ	강이나 바다 등의 바닥이 얕거나 폭이 좁아 물이 세게 흐르는 곳.
여인	ㅇㅕㅇㅣㄴ	어른인 여자.
여장	ㅇㅕㅈㅏㅇ	남자가 여자처럼 얼굴과 옷차림 등을 꾸밈.
여정	ㅇㅕㅈㅓㅇ	여행을 할 때 느끼는 외롭고 울적한 감정.
여죄	ㅇㅕㅈㅗㅣ	주된 죄 이외에 남아 있는 또 다른 죄.
여중	ㅇㅕㅈㅜㅇ	‘여자 중학교’를 줄여 이르는 말.
여진	ㅇㅕㅈㅣㄴ	큰 지진이 일어난 다음에 일어나는 작은 지진.
여체	ㅇㅕㅊㅓㅣ	여성의 몸.
여탕	ㅇㅕㅌㅏㅇ	대중목욕탕에서 여자들이 목욕하는 곳.
여한	ㅇㅕㅎㅏㄴ	풀지 못하고 남은 한.
여흥	ㅇㅕㅎㅡㅇ	모임이나 연회가 끝난 뒤에 흥이 나도록 곁들이는 오락이나 연예.
역기	ㅇㅕㄱㄱㅣ	역도나 근육 단련 훈련을 할 때 쓰는, 쇠막대기 양쪽에 무거운 쇳덩이가 달린 운동 기구.
